runtime,prompt_tokens,repetition,output_tokens,cached_tokens,prefill_tokens_per_second,decode_tokens_per_second,ttft_ms,wall_ms
mlx-node,7733,1,256,0,1152.0970544555998,52.14750230476316,6712.108125000001,11608.692374999999
mlx-node,7733,2,256,0,1153.2061298356425,50.53215270305043,6705.652875,11758.675082999998
mlx-node,7733,3,256,0,1159.622928353058,49.92307156168541,6668.5470000000005,11783.387250000002
llama.cpp,7733,1,256,0,1309.2218451275041,48.66085331672376,5906.562,11149.179625
llama.cpp,7733,2,256,0,1207.9630272400116,48.69509556364764,6401.686,11641.953709000001
llama.cpp,7733,3,256,0,1251.9845079666884,50.34669126480958,6176.594,11243.726084000002
mlx-node,40528,1,256,0,1000.3676341182036,39.47594088385216,40513.106,46993.807333000004
mlx-node,40528,2,256,0,955.8754352263414,39.83966461669209,42398.829917,48817.877
mlx-node,40528,3,256,0,1011.2599105024499,41.824118755566815,40076.7395,46194.233375
llama.cpp,40528,1,256,0,740.9000308348817,35.28873031563486,54701.037,61933.872209
llama.cpp,40528,2,256,0,720.8234874769992,35.045674133777446,56224.583,63507.475542
llama.cpp,40528,3,256,0,752.0816505920843,36.31326126124073,53887.766,60916.648792
mlx-node,66904,1,256,0,872.086852519684,31.862329247786164,76717.1295,84750.45841600001
mlx-node,66904,2,256,0,868.7294716400215,34.658590235096625,77013.61837499999,84401.784875
mlx-node,66904,3,256,0,889.1551031340913,34.049298085557105,75244.464958,82764.038042
llama.cpp,66904,1,256,0,526.5427182610428,28.798242561837448,127062.815,135927.43679100001
llama.cpp,66904,2,256,0,515.5694832678191,28.788111932243396,129767.184,138635.21125000002
llama.cpp,66904,3,256,0,547.1981868588406,29.556523489844203,122266.487,130904.22808400002
